,id,position,trackname,artist,streams,url,date,region
82,442607,8,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,90487,https://open.spotify.com/track/1bhUWB0zJMIKr9y...,2017-12-28 00:00:00,it
83,317408,9,Scared to Be Lonely,Martin Garrix,71259,https://open.spotify.com/track/3ebXMykcMXOcLeJ...,2017-04-14 00:00:00,no
84,301207,8,Make Me (Cry),Noah Cyrus,81932,https://open.spotify.com/track/2BrzlUj1u1CtvaJ...,2017-01-23 00:00:00,no
85,119208,9,Mobali,Siboy,81790,https://open.spotify.com/track/6xcXAVbDuVT1pCs...,2017-08-17 00:00:00,fr
86,972724,10,You Don't Know Me - Radio Edit,Jax Jones,255434,https://open.spotify.com/track/00lNx0OcTJrS3MK...,2017-03-11 00:00:00,de
87,107808,9,Chocolat (feat. Awa),Lartiste,93144,https://open.spotify.com/track/4fwtP5khM1iEoa6...,2017-06-21 00:00:00,fr
88,496406,8,Attention,Charlie Puth,113556,https://open.spotify.com/track/4iLqG9SeJSnt0cS...,2017-06-25 00:00:00,ph
89,413409,10,El Party,Jake La Furia,100715,https://open.spotify.com/track/5xyExId5XWZplBv...,2017-08-04 00:00:00,it
90,792422,1,HUMBLE.,Kendrick Lamar,3526246,https://open.spotify.com/track/7KXjTSCq5nL1LoY...,2017-04-15 00:00:00,us
91,818222,1,Look What You Made Me Do,Taylor Swift,3828478,https://open.spotify.com/track/2VjtYe7gpfUi2Ok...,2017-08-25 00:00:00,us
92,793222,1,HUMBLE.,Kendrick Lamar,3255141,https://open.spotify.com/track/7KXjTSCq5nL1LoY...,2017-04-19 00:00:00,us
93,792822,1,HUMBLE.,Kendrick Lamar,3337001,https://open.spotify.com/track/7KXjTSCq5nL1LoY...,2017-04-17 00:00:00,us
94,792222,1,HUMBLE.,Kendrick Lamar,4068152,https://open.spotify.com/track/7KXjTSCq5nL1LoY...,2017-04-14 00:00:00,us
95,792423,2,DNA.,Kendrick Lamar,3013496,https://open.spotify.com/track/6HZILIRieu8S0iq...,2017-04-15 00:00:00,us
96,792223,2,DNA.,Kendrick Lamar,3643231,https://open.spotify.com/track/6HZILIRieu8S0iq...,2017-04-14 00:00:00,us
97,793422,1,HUMBLE.,Kendrick Lamar,3144482,https://open.spotify.com/track/7KXjTSCq5nL1LoY...,2017-04-20 00:00:00,us
98,793622,1,HUMBLE.,Kendrick Lamar,3172718,https://open.spotify.com/track/7KXjTSCq5nL1LoY...,2017-04-21 00:00:00,us
99,793022,1,HUMBLE.,Kendrick Lamar,3394456,https://open.spotify.com/track/7KXjTSCq5nL1LoY...,2017-04-18 00:00:00,us
